1.0,11673,27603,8745,3864890.623000015,80.64737701,512853.6667,157.2522188
2.0,6478,13256,3781,1334891.7450000013,14.493433,91521.1246,158.3616139
3.0,3555,9317,2914,1306034.1229999978,42.0008049,123181.2848,340.9674201
4.0,2855,7835,2480,909955.3139999985,27.75946999,67772.28886,409.5991216
5.0,3404,8701,2690,1375802.9609999948,38.10174942,114753.1502,332.0322742
6.0,3994,9706,3083,1168618.7849999976,34.50740051,101498.1456,339.9806008
7.0,3089,8021,2575,1112575.01,41.04495621,149784.336,274.0270265
8.0,7221,18688,6188,2656100.4549999847,97.0435257,297806.3934,325.8611227
9.0,1324,3311,1041,423909.7700000028,14.4429245,54993.66046,262.628899
10.0,148911,364914,117327,50059170.63799986,1307.057861,4604961.31,283.8368823
11.0,2328,5528,1729,805707.6150000021,30.94753265,65878.92697,469.7637633
12.0,6136,13911,4228,2015933.0140000056,71.09897614,146356.3494,485.7935883
13.0,4463,10372,3306,1515536.4530000128,44.19630814,105705.565,418.107676
14.0,308260,784190,241490,119956656.33799925,4632.77002,14281719.8,324.3846039
15.0,2458,6137,1951,816673.0749999984,26.19052696,55779.49152,469.5368539
16.0,3220,7764,2351,1142665.1389999995,41.97615814,109579.4602,383.0659328
17.0,5409,13533,3994,1850049.4110000015,62.12906647,165225.2385,376.0264898
18.0,58274,140289,43782,18918048.76199987,279.0698853,661553.5774,421.8401877
19.0,4403,12438,3833,1218219.3150000055,19.56647682,84143.61028,232.5366924
20.0,11084,30166,9429,2806073.499000012,40.68242264,322329.2369,126.2138769
21.0,118187,285995,87841,38274813.73700046,1160.308838,4437234.748,261.4936788
22.0,3496,8654,2809,1136154.0929999975,37.21602249,73006.67113,509.7619425
23.0,2286,5327,1530,386657.01499999897,3.658987761,59087.88311,61.92450242
24.0,6738,14809,4544,1958859.1910000003,71.78395081,199622.2104,359.5990179
25.0,2848,7104,2192,891932.7599999977,26.14744186,74611.72537,350.4468196
26.0,11501,28055,8807,3698425.5290000113,104.2041779,268055.6356,388.7408583
27.0,3501,8509,2682,1070426.4229999979,31.67541504,93335.49432,339.3715892
